18.04.2014; Жим ногами + дотяг;;;;;;;;;;;;;;;;;;;;;;;;;
;;;4;4;4;4;;;;;;;;;;;;;;1400;16;89%;87.5;98.18; 14.26   ;
;;Жим штанги узким хватом лежа;60;80;80;60;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;6;6;7;;;;;;;;;;;;;;1860;27;72%;68.88888889;95.62; 19.45   ;
30.06.2014; Тяга с ямы 160 3х2 с плинтов 190 2х1;;;;;;;;;;;;;;;;;;;;;;;;;
;;Становая тяга из ямы;100;100;120;120;140;160;160;160;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;4;2;2;2;;;;;;;;;;3240;26;62%;124.6153846;200; 16.20   ;
;;Становая тяга с плинтов;190;190;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;1;1;;;;;;;;;;;;;;;;380;2;86%;190;220; 1.73   ;
;;Вертикальная тяга верхнего блока к груди широким хватом;64;64;64;64;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;2560;40;53%;64;121.33; 21.10   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;64;64;64;64;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;2560;40;59%;64;109.33; 23.42   ;
;;Подъем штанги на бицепс стоя;40;40;40;40;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;1600;40;60%;40;66.67; 24.00   ;
02.07.2014; Жим 100 3х2 110 2х1;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;100;100;100;110;110;80;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;2;2;2;1;1;8;;;;;;;;;2400;28;62%;85.71428571;137.5; 17.45   ;
;;Жим П-грифа;80;80;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;;;;;;;;;;;;;;;;640;8;81%;80;98.18; 6.52   ;
;;Жим книзу в блочном тренажере двумя руками;42;42;42;42;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;1680;40;38%;42;109.33; 15.37   ;
;;;Кроссовер слева;Кроссовер слева;Кроссовер слева;Кроссовер слева;;;;;;;;;;;;;;;;;;;;
04.07.2014; Присед пирамида до 175, тяга 145 2х3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;100;120;140;140;140;140;160;160;175;175;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;4;4;4;4;2;2;1;1;;;;;;;;4210;31;65%;135.8064516;210; 20.05   ;
;;Становая тяга;145;145;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;;;;;;;;;;;;;;;;870;6;68%;145;212.5; 4.09   ;
;;Гиперэкстензия;0;0;0;0;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;0;60;0%;0;57.6; -     ;
;;Пресс в тренажере;102;102;102;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;3672;36;69%;102;146.88; 25.00   ;
07.07.2014; Жим в слинге 130 4х3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим лежа в слинге;100;110;120;130;130;130;130;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;3;3;3;3;;;;;;;;;;;3210;27;75%;118.8888889;158.82; 20.21   ;
;;Жим штанги лежа на горизонтальной скамье;90;90;90;90;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;1440;16;65%;90;137.5; 10.47   ;
;;Вертикальная тяга верхнего блока к груди широким хватом;57;57;57;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;;;;;;;;;;;;;;;2565;45;47%;57;121.33; 21.14   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;57;57;57;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;;;;;;;;;;;;;;;2565;45;52%;57;109.33; 23.46   ;
;;Подъем штанги на бицепс стоя;30;30;30;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;21;21;21;;;;;;;;;;;;;;;1890;63;45%;30;66.67; 28.35   ;
09.07.2014; Присед 130 4х3 Тяга яма 150 3х4 подст 190 2х3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;130;130;130;130;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;3;3;;;;;;;;;;;;;;1560;12;62%;130;210; 7.43   ;
;;Становая тяга из ямы;100;120;140;150;150;150;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;4;4;4;4;;;;;;;;;;;;3460;26;67%;133.0769231;200; 17.30   ;
;;Становая тяга с плинтов;190;190;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;;;;;;;;;;;;;;;;1140;6;86%;190;220; 5.18   ;
11.07.2014; Жим 110 5х2, жим с паузой, жим П-грифа;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;110;110;110;110;110;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;2;2;2;2;2;;;;;;;;;;2040;22;67%;92.72727273;137.5; 14.84   ;
;;Жим лежа с паузой;87;87;87;87;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;5;;;;;;;;;;;;;;1740;20;68%;87;127.06; 13.69   ;
;;;Пауза 3 с;Пауза 3 с;Пауза 3 с;Пауза 3 с;;;;;;;;;;;;;;;;;;;;
;;Жим П-грифа;80;80;80;80;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;1280;16;81%;80;98.18; 13.04   ;
;;Разведение гантелей в стороны стоя;13.6;13.6;13.6;13.6;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;544;40;57%;13.6;23.69; 22.96   ;
;;Отжимания от скамьи в упоре сзади;0;0;0;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;20;20;20;;;;;;;;;;;;;;;0;60;#ДЕЛ/0!;0;0;#ДЕЛ/0!;
14.07.2014; Присед 160 5х5, на скамью 120 4х4, тяга 140 4х4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;160;160;160;160;160;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;5;5;;;;;;;;;;;;;4000;25;76%;160;210; 19.05   ;
;;Приседания на скамью;120;120;120;120;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;1920;16;73%;120;164.57; 11.67   ;
;;Становая тяга;140;140;140;140;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;2240;16;66%;140;212.5; 10.54   ;
16.07.2014; Жим слинг 120,130 2х2 лежа 90 4х4, плечи трицепс;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим лежа в слинге;100;110;120;120;120;130;130;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;3;2;2;;;;;;;;;;;2650;23;73%;115.2173913;158.82; 16.69   ;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;90;90;90;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;4;4;4;4;;;;;;;;;;;;2110;25;61%;84.4;137.5; 15.35   ;
;;Жим гантелей сидя;27.2;29.5;31.8;29.5;27.2;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;6;6;6;6;;;;;;;;;;;;;871.2;30;79%;29.04;36.93; 23.59   ;
;;Разведение гантелей в стороны стоя;13.6;13.6;13.6;13.6;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;435.2;32;57%;13.6;23.69; 18.37   ;
;;Жим книзу в блочном тренажере двумя руками;68;68;68;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;20;20;20;;;;;;;;;;;;;;;4080;60;62%;68;109.33; 37.32   ;
;;;Кроссовер справа;;;;;;;;;;;;;;;;;;;;;;;
18.07.2014; Присед 120 4х4 тяга 180 4х3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;120;120;120;120;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;4;;;;;;;;;;;;;;1920;16;57%;120;210; 9.14   ;
;;Становая тяга;100;120;140;180;180;180;180;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;3;3;3;3;;;;;;;;;;;3600;24;71%;150;212.5; 16.94   ;
;;Гиперэкстензия;0;0;0;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;20;20;20;;;;;;;;;;;;;;;0;60;0%;0;57.6; -     ;
;;Пресс в тренажере;95;95;95;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;3420;36;65%;95;146.88; 23.28   ;
21.07.2014; Легкий жим;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги на скамье с наклоном вверх;65;65;65;65;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;2080;32;54%;65;120; 17.33   ;
;;Жим гантелей лежа на горизонтальной скамье;25;25;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;;;;;;;;;;;;;;;;750;30;56%;25;44.83; 16.73   ;
;;Жим штанги с груди сидя в смите;50;50;50;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;6;6;;;;;;;;;;;;;;;900;18;66%;50;75.48; 11.92   ;
;;Французский жим лежа;30;30;30;30;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;15;15;15;;;;;;;;;;;;;;1710;57;50%;30;60; 28.50   ;
23.07.2014; Легкий жим ногами 4х8;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим ногами в тренажере;240;260;260;260;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;8160;32;65%;255;394.84; 20.67   ;
;;Верхний хаммер;45;45;45;45;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;10;10;10;10;;;;;;;;;;;;;;1800;40;46%;45;98.18; 18.33   ;
;;Подъем гантелей на бицепс сидя;13.6;13.6;13.6;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;489.6;36;69%;13.6;19.58; 25.01   ;
;;Гиперэкстензия;40;40;40;40;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;1280;32;69%;40;57.6; 22.22   ;
25.07.2014; Легкий жим 90 5х5;;;;;;;;;;;;;;;;;;;;;;;;;
